"","Period","Date","Week","NO2_Concentration"
"USA...24","2019",2020-06-10,"2019-06-10 to 2019-06-16",1.76894154719776e-05
"USA...25","2019",2020-06-17,"2019-06-17 to 2019-06-23",1.79548915184569e-05
"USA...26","2019",2020-06-24,"2019-06-24 to 2019-06-30",1.96415312530007e-05
"USA...27","2019",2020-07-01,"2019-07-01 to 2019-07-07",1.92106235772371e-05
"USA...28","2019",2020-07-08,"2019-07-08 to 2019-07-14",1.97703502635704e-05
"USA...29","2019",2020-07-15,"2019-07-15 to 2019-07-21",1.92794159374898e-05
"USA...30","2019",2020-07-22,"2019-07-22 to 2019-07-28",1.84420514415251e-05
"USA...31","2019",2020-07-29,"2019-07-29 to 2019-08-04",2.0464929548325e-05
"USA...32","2019",2020-08-05,"2019-08-05 to 2019-08-11",2.02176488528494e-05
"USA...33","2019",2020-08-12,"2019-08-12 to 2019-08-18",1.92438310477883e-05
"USA...34","2019",2020-08-19,"2019-08-19 to 2019-08-25",1.86969846254215e-05
"USA...35","2019",2020-08-26,"2019-08-26 to 2019-09-01",1.72542149812216e-05
"USA...36","2019",2020-09-02,"2019-09-02 to 2019-09-08",2.08147030207328e-05
"USA...37","2019",2020-09-09,"2019-09-09 to 2019-09-15",1.86192428373033e-05
"USA...38","2019",2020-09-16,"2019-09-16 to 2019-09-22",2.02195187739562e-05
"USA...39","2019",2020-09-23,"2019-09-23 to 2019-09-29",1.92439183592796e-05
"USA...40","2019",2020-09-30,"2019-09-30 to 2019-10-06",2.02843912120443e-05
"USA...41","2019",2020-10-07,"2019-10-07 to 2019-10-13",1.88495723705273e-05
"USA...42","2019",2020-10-14,"2019-10-14 to 2019-10-20",2.13124021684052e-05
"USA...43","2019",2020-10-21,"2019-10-21 to 2019-10-27",2.24436571443221e-05
"USA...44","2019",2020-10-28,"2019-10-28 to 2019-11-03",2.07603679882595e-05
"USA...45","2019",2020-11-04,"2019-11-04 to 2019-11-10",2.36101514019538e-05
"USA...46","2019",2020-11-11,"2019-11-11 to 2019-11-17",2.61340828728862e-05
"USA...47","2019",2020-11-18,"2019-11-18 to 2019-11-24",2.79223313555121e-05
"USA...48","2019",2020-11-25,"2019-11-25 to 2019-12-01",2.51832643698435e-05
"USA...49","2019",2020-12-02,"2019-12-02 to 2019-12-08",2.89245563180884e-05
"USA...50","2019",2020-12-09,"2019-12-09 to 2019-12-15",2.58871277765138e-05
"USA...51","2019",2020-12-16,"2019-12-16 to 2019-12-22",2.6385434466647e-05
"USA...52","2019",2020-12-23,"2019-12-23 to 2019-12-29",1.59923056344269e-05
"USA...110","2020",2019-12-30,"2019-12-30 to 2020-01-05",1.94487674889388e-05
"USA...210","2020",2020-01-06,"2020-01-06 to 2020-01-12",2.38671345869079e-05
"USA...310","2020",2020-01-13,"2020-01-13 to 2020-01-19",2.44428083533421e-05
"USA...410","2020",2020-01-20,"2020-01-20 to 2020-01-26",2.45561714109499e-05
"USA...54","2020",2020-01-27,"2020-01-27 to 2020-02-02",2.32755119213834e-05
"USA...61","2020",2020-02-03,"2020-02-03 to 2020-02-09",1.97104182007024e-05
"USA...71","2020",2020-02-10,"2020-02-10 to 2020-02-16",2.10590860660886e-05
"USA...81","2020",2020-02-17,"2020-02-17 to 2020-02-23",2.27136715693632e-05
"USA...91","2020",2020-02-24,"2020-02-24 to 2020-03-01",2.02878072741441e-05
"USA...101","2020",2020-03-02,"2020-03-02 to 2020-03-08",2.12158247450134e-05
"USA...111","2020",2020-03-09,"2020-03-09 to 2020-03-15",2.00991835299646e-05
"USA...121","2020",2020-03-16,"2020-03-16 to 2020-03-22",2.07817211048678e-05
"USA...131","2020",2020-03-23,"2020-03-23 to 2020-03-29",1.90522932825843e-05
"USA...141","2020",2020-03-30,"2020-03-30 to 2020-04-05",1.94981330423616e-05
"USA...151","2020",2020-04-06,"2020-04-06 to 2020-04-12",2.16944117710227e-05
"USA...161","2020",2020-04-13,"2020-04-13 to 2020-04-19",1.80718725459883e-05
"USA...171","2020",2020-04-20,"2020-04-20 to 2020-04-26",1.77476122189546e-05
"USA...181","2020",2020-04-27,"2020-04-27 to 2020-05-03",2.05776086659171e-05
"USA...191","2020",2020-05-04,"2020-05-04 to 2020-05-10",1.75260975083802e-05
"USA...201","2020",2020-05-11,"2020-05-11 to 2020-05-17",2.16623830056051e-05
"USA...211","2020",2020-05-18,"2020-05-18 to 2020-05-24",2.05846154130995e-05
"USA...221","2020",2020-05-25,"2020-05-25 to 2020-05-31",1.77385863935342e-05
"USA...231","2020",2020-06-01,"2020-06-01 to 2020-06-07",2.12826071219752e-05
"USA...241","2020",2020-06-08,"2020-06-08 to 2020-06-14",1.88258836715249e-05
"USA...251","2020",2020-06-15,"2020-06-15 to 2020-06-21",2.00980848603649e-05
"USA...261","2020",2020-06-22,"2020-06-22 to 2020-06-28",1.81051473191474e-05
"USA...271","2020",2020-06-29,"2020-06-29 to 2020-07-05",1.91228773473995e-05
"USA...281","2020",2020-07-06,"2020-07-06 to 2020-07-12",1.8431512216921e-05
"USA...291","2020",2020-07-13,"2020-07-13 to 2020-07-19",1.95432785403682e-05
"USA...301","2020",2020-07-20,"2020-07-20 to 2020-07-26",1.75627556018298e-05
"USA...311","2020",2020-07-27,"2020-07-27 to 2020-08-02",1.93728210433619e-05
"USA...321","2020",2020-08-03,"2020-08-03 to 2020-08-09",1.93544401554391e-05
"USA...331","2020",2020-08-10,"2020-08-10 to 2020-08-16",1.8647810065886e-05
"USA...341","2020",2020-08-17,"2020-08-17 to 2020-08-23",1.99192872969434e-05
"USA...351","2020",2020-08-24,"2020-08-24 to 2020-08-30",2.00963913812302e-05
"USA...361","2020",2020-08-31,"2020-08-31 to 2020-09-06",1.68611932167551e-05
"USA...371","2020",2020-09-07,"2020-09-07 to 2020-09-13",1.75648347067181e-05
"USA...381","2020",2020-09-14,"2020-09-14 to 2020-09-20",1.73609696503263e-05
"USA...391","2020",2020-09-21,"2020-09-21 to 2020-09-27",2.03761210286757e-05
"USA...401","2020",2020-09-28,"2020-09-28 to 2020-10-04",1.77496385731502e-05
"USA...411","2020",2020-10-05,"2020-10-05 to 2020-10-11",2.10987418540753e-05
"USA...421","2020",2020-10-12,"2020-10-12 to 2020-10-18",1.89650272659492e-05
"USA...431","2020",2020-10-19,"2020-10-19 to 2020-10-25",1.90069549717009e-05
"USA...441","2020",2020-10-26,"2020-10-26 to 2020-11-01",2.20908532355679e-05
"USA...451","2020",2020-11-02,"2020-11-02 to 2020-11-08",2.47035623033298e-05
"USA...461","2020",2020-11-09,"2020-11-09 to 2020-11-15",2.50081557169324e-05
"USA...471","2020",2020-11-16,"2020-11-16 to 2020-11-22",2.45520914177177e-05
"USA...481","2020",2020-11-23,"2020-11-23 to 2020-11-29",2.22814924200065e-05
"USA...491","2020",2020-11-30,"2020-11-30 to 2020-12-06",2.65784456132678e-05
"USA...501","2020",2020-12-07,"2020-12-07 to 2020-12-13",2.61038803728297e-05
"USA...511","2020",2020-12-14,"2020-12-14 to 2020-12-20",1.67859325301833e-05
"USA...521","2020",2020-12-21,"2020-12-21 to 2020-12-27",1.56951155076968e-05
"USA...53","2020",2020-12-28,"2020-12-28 to 2021-01-03",2.11638071050402e-05
