"","Period","Date","Week","NO2_Concentration"
"38","2019",2020-09-16,"2019-09-16 to 2019-09-22",2.06195511424606e-05
"39","2019",2020-09-23,"2019-09-23 to 2019-09-29",1.98938991204124e-05
"40","2019",2020-09-30,"2019-09-30 to 2019-10-06",2.06570982196634e-05
"41","2019",2020-10-07,"2019-10-07 to 2019-10-13",2.15317545324339e-05
"42","2019",2020-10-14,"2019-10-14 to 2019-10-20",2.22931133385599e-05
"43","2019",2020-10-21,"2019-10-21 to 2019-10-27",2.39272708971565e-05
"44","2019",2020-10-28,"2019-10-28 to 2019-11-03",2.36260341190408e-05
"45","2019",2020-11-04,"2019-11-04 to 2019-11-10",2.27089841353461e-05
"46","2019",2020-11-11,"2019-11-11 to 2019-11-17",2.5297804573457e-05
"47","2019",2020-11-18,"2019-11-18 to 2019-11-24",2.69292632212135e-05
"48","2019",2020-11-25,"2019-11-25 to 2019-12-01",2.66257411975599e-05
"49","2019",2020-12-02,"2019-12-02 to 2019-12-08",2.73433975008044e-05
"50","2019",2020-12-09,"2019-12-09 to 2019-12-15",2.47487760837628e-05
"51","2019",2020-12-16,"2019-12-16 to 2019-12-22",2.76392918392902e-05
"52","2019",2020-12-23,"2019-12-23 to 2019-12-29",2.43322526570608e-05
"53","2020",2019-12-30,"2019-12-30 to 2020-01-05",2.55264703574089e-05
"54","2020",2020-01-06,"2020-01-06 to 2020-01-12",2.46396550616771e-05
"55","2020",2020-01-13,"2020-01-13 to 2020-01-19",2.52967210813615e-05
"56","2020",2020-01-20,"2020-01-20 to 2020-01-26",2.4680667294749e-05
"57","2020",2020-01-27,"2020-01-27 to 2020-02-02",2.00637490604466e-05
"58","2020",2020-02-03,"2020-02-03 to 2020-02-09",2.04674256471621e-05
"59","2020",2020-02-10,"2020-02-10 to 2020-02-16",2.05064617794317e-05
"60","2020",2020-02-17,"2020-02-17 to 2020-02-23",2.02300432327516e-05
"61","2020",2020-02-24,"2020-02-24 to 2020-03-01",1.91373528589045e-05
"62","2020",2020-03-02,"2020-03-02 to 2020-03-08",1.99183303494689e-05
"63","2020",2020-03-09,"2020-03-09 to 2020-03-15",1.93173513243332e-05
"64","2020",2020-03-16,"2020-03-16 to 2020-03-22",2.0588443503081e-05
"65","2020",2020-03-23,"2020-03-23 to 2020-03-29",1.97621998225354e-05
"66","2020",2020-03-30,"2020-03-30 to 2020-04-05",2.05325415054289e-05
"67","2020",2020-04-06,"2020-04-06 to 2020-04-12",1.8598350290388e-05
"68","2020",2020-04-13,"2020-04-13 to 2020-04-19",1.98944571366066e-05
"69","2020",2020-04-20,"2020-04-20 to 2020-04-26",1.96918041821958e-05
"70","2020",2020-04-27,"2020-04-27 to 2020-05-03",1.93162307530163e-05
"71","2020",2020-05-04,"2020-05-04 to 2020-05-10",1.90643252233499e-05
"72","2020",2020-05-11,"2020-05-11 to 2020-05-17",1.92169083952466e-05
"73","2020",2020-05-18,"2020-05-18 to 2020-05-24",1.95690793989008e-05
"74","2020",2020-05-25,"2020-05-25 to 2020-05-31",1.88302280598099e-05
"75","2020",2020-06-01,"2020-06-01 to 2020-06-07",1.932346841061e-05
"76","2020",2020-06-08,"2020-06-08 to 2020-06-14",1.92339309400365e-05
"77","2020",2020-06-15,"2020-06-15 to 2020-06-21",1.89283958076841e-05
"78","2020",2020-06-22,"2020-06-22 to 2020-06-28",1.8750919504501e-05
"79","2020",2020-06-29,"2020-06-29 to 2020-07-05",1.83976259775472e-05
"80","2020",2020-07-06,"2020-07-06 to 2020-07-12",1.83431965096786e-05
"81","2020",2020-07-13,"2020-07-13 to 2020-07-19",1.95190466967083e-05
"82","2020",2020-07-20,"2020-07-20 to 2020-07-26",1.82767726830017e-05
"83","2020",2020-07-27,"2020-07-27 to 2020-08-02",1.8584225301828e-05
"84","2020",2020-08-03,"2020-08-03 to 2020-08-09",1.930890296533e-05
"85","2020",2020-08-10,"2020-08-10 to 2020-08-16",1.90212599167246e-05
"86","2020",2020-08-17,"2020-08-17 to 2020-08-23",1.83704924069049e-05
"87","2020",2020-08-24,"2020-08-24 to 2020-08-30",1.86449701616042e-05
"88","2020",2020-08-31,"2020-08-31 to 2020-09-06",1.94220710766992e-05
"89","2020",2020-09-07,"2020-09-07 to 2020-09-13",1.96994859231944e-05
"90","2020",2020-09-14,"2020-09-14 to 2020-09-20",2.07652294623536e-05
"91","2020",2020-09-21,"2020-09-21 to 2020-09-27",1.99563779536554e-05
"92","2020",2020-09-28,"2020-09-28 to 2020-10-04",2.10000089241265e-05
"93","2020",2020-10-05,"2020-10-05 to 2020-10-11",2.16756878472428e-05
"94","2020",2020-10-12,"2020-10-12 to 2020-10-18",2.20376687302577e-05
"95","2020",2020-10-19,"2020-10-19 to 2020-10-25",2.30806931948365e-05
"96","2020",2020-10-26,"2020-10-26 to 2020-11-01",2.28035838725158e-05
"97","2020",2020-11-02,"2020-11-02 to 2020-11-08",2.4600598704754e-05
"98","2020",2020-11-09,"2020-11-09 to 2020-11-15",2.43042795916255e-05
"99","2020",2020-11-16,"2020-11-16 to 2020-11-22",2.18214958417557e-05
"100","2020",2020-11-23,"2020-11-23 to 2020-11-29",2.36527956198161e-05
"101","2020",2020-11-30,"2020-11-30 to 2020-12-06",2.99177363909798e-05
"102","2020",2020-12-07,"2020-12-07 to 2020-12-13",3.22420583056465e-05
"103","2020",2020-12-14,"2020-12-14 to 2020-12-20",3.11257424483809e-05
"104","2020",2020-12-21,"2020-12-21 to 2020-12-27",3.04317045206021e-05
"105","2020",2020-12-28,"2020-12-28 to 2021-01-03",2.74081798202066e-05
